recto_texte,verso_texte,emoji,categorie,kanji_only
一,いち / ひと— : un,🈶,Genki L03,off
二,に / ふた— : deux,🈶,Genki L03,off
三,さん / みっ— : trois,🈶,Genki L03,off
四,し / よん・よっ— : quatre,🈶,Genki L03,off
五,ご / いつ— : cinq,🈶,Genki L03,off
六,ろく / むっ— : six,🈶,Genki L03,off
七,しち・なな : sept,🈶,Genki L03,off
八,はち / やっ— : huit,🈶,Genki L03,off
九,きゅう / ここの— : neuf,🈶,Genki L03,off
十,じゅう / とお : dix,🈶,Genki L03,off
百,ひゃく : cent,🈶,Genki L03,off
千,せん : mille,🈶,Genki L03,off
万,まん : dix mille,🈶,Genki L03,off
円,えん / まる— : yen ; cercle,🈶,Genki L03,off
時,じ / とき : heure ; moment,🈶,Genki L03,off
日,にち・にっ— / ひ : jour ; soleil,🈶,Genki L04,off
本,ほん / もと : livre ; origine,🈶,Genki L04,off
人,じん・にん / ひと : personne,🈶,Genki L04,off
月,げつ・がつ / つき : mois ; lune,🈶,Genki L04,off
火,か / ひ : feu,🈶,Genki L04,off
水,すい / みず : eau,🈶,Genki L04,off
木,もく / き : arbre,🈶,Genki L04,off
金,きん / かね : or ; argent,🈶,Genki L04,off
土,ど / つち : terre,🈶,Genki L04,off
曜,よう : jour de la semaine,🈶,Genki L04,off
上,じょう / うえ・のぼ— : dessus ; monter,🈶,Genki L04,off
下,か / した・くだ— : dessous ; descendre,🈶,Genki L04,off
中,ちゅう / なか : milieu ; intérieur,🈶,Genki L04,off
半,はん : demi,🈶,Genki L04,off
山,さん / やま : montagne,🈶,Genki L05,off
川,かわ・がわ : rivière,🈶,Genki L05,off
元,げん / もと : origine,🈶,Genki L05,off
気,き : esprit ; ambiance,🈶,Genki L05,off
天,てん : ciel,🈶,Genki L05,off
私,"し / わたし : je, moi ; privé",🈶,Genki L05,off
今,こん / いま : maintenant,🈶,Genki L05,off
田,た・だ : rizière,🈶,Genki L05,off
女,じょ / おんな : femme,🈶,Genki L05,off
男,だん / おとこ : homme,🈶,Genki L05,off
見,けん / み— : voir,🈶,Genki L05,off
行,こう・ぎょう / い— : aller,🈶,Genki L05,off
食,しょく / た— : manger,🈶,Genki L05,off
飲,いん / の— : boire,🈶,Genki L05,off
東,とう / ひがし : est,🈶,Genki L06,off
西,せい / にし : ouest,🈶,Genki L06,off
南,なん / みなみ : sud,🈶,Genki L06,off
北,ほく / きた : nord,🈶,Genki L06,off
口,こう / くち : bouche ; entrée,🈶,Genki L06,off
出,しゅつ / で—・だ— : sortir,🈶,Genki L06,off
右,う / みぎ : droite,🈶,Genki L06,off
左,さ / ひだり : gauche,🈶,Genki L06,off
分,ふん・ぷん / わ— : minute ; diviser,🈶,Genki L06,off
先,せん / さき : avant ; précédent,🈶,Genki L06,off
生,せい / う— : naître ; élève,🈶,Genki L06,off
大,だい・たい / おお— : grand,🈶,Genki L06,off
学,がく / まな— : apprendre,🈶,Genki L06,off
外,がい / そと : extérieur,🈶,Genki L06,off
国,こく / くに : pays,🈶,Genki L06,off
京,きょう : capitale,🈶,Genki L07,off
子,し / こ : enfant,🈶,Genki L07,off
小,しょう / ちい— : petit,🈶,Genki L07,off
