recto_texte,verso_texte,emoji,categorie
"Bonjour (matin, familier)",おはよう,🕐,Genki L01
"Bonjour (matin, poli)",おはようございます,🕐,Genki L01
Bonsoir,こんばんは,,Genki L01
Au revoir,さようなら,,Genki L01
Bonne nuit,おやすみなさい,🕐,Genki L01
J'y vais (en partant),いってきます,,Genki L01
Merci pour le repas (après manger),ごちそうさまでした,🍽️,Genki L01
Enchanté(e) (première rencontre),はじめまして,,Genki L01
"Ravi de vous connaître, merci d'avance",よろしくおねがいします,,Genki L01
Zéro,ぜろ／れい,,Genki L01
Onze,じゅういち,,Genki L01
Vingt,にじゅう,,Genki L01
Cent,ひゃく,,Genki L01
Mille,せん,,Genki L01
Quelle heure est-il ?,なんじ(何時)ですか。,,Genki L01
Une heure,いちじ(一時),,Genki L01
Et demie,はん(半),,Genki L01
Du matin,ごぜん(午前),🕐,Genki L01
De l'après-midi,ごご(午後),🕐,Genki L01
Ceci (près de moi),これ,,Genki L02
Cela (près de toi),それ,,Genki L02
Cela (là-bas),あれ,,Genki L02
Lequel,どれ,,Genki L02
"Ce, cette (+ nom, ici)",この,,Genki L02
"Ce, cette (+ nom, là)",その,,Genki L02
"Ce, cette (+ nom, là-bas)",あの,,Genki L02
"Quel, quelle (+ nom)",どの,,Genki L02
Ici,ここ,,Genki L02
Là,そこ,,Genki L02
Là-bas,あそこ,,Genki L02
Où,どこ,,Genki L02
Qui,だれ,,Genki L02
Délicieux,おいしい(美味しい),,Genki L02
Poisson,さかな(魚),,Genki L02
Escalope de porc panée,とんかつ,,Genki L02
Viande,にく(肉),,Genki L02
Menu,メニュー,,Genki L02
Légume,やさい(野菜),,Genki L02
Parapluie,かさ,,Genki L02
Sac,かばん,,Genki L02
Chaussures,くつ(靴),👕,Genki L02
Portefeuille,さいふ(財布),,Genki L02
Vélo,じてんしゃ(自転車),🚲,Genki L02
Journal,しんぶん(新聞),,Genki L02
Smartphone,スマホ,,Genki L02
"Montre, horloge",とけい(時計),,Genki L02
École,がっこう(学校),🏫,Genki L02
Banque,ぎんこう(銀行),,Genki L02
Supérette,コンビニ,,Genki L02
Bibliothèque,としょかん(図書館),,Genki L02
Bureau de poste,ゆうびんきょく(郵便局),✉️,Genki L02
"Toilettes (mot courant, katakana)",トイレ,,Genki L02
Angleterre,イギリス,,Genki L02
Corée,かんこく(韓国),,Genki L02
Chine,ちゅうごく(中国),,Genki L02
Anglais (langue),えいご(英語),,Genki L02
Économie,けいざい(経済),,Genki L02
Ordinateur,コンピューター,,Genki L02
Histoire,れきし(歴史),,Genki L02
Mère (de qqn),おかあさん,👪,Genki L02
Père (de qqn),おとうさん,👪,Genki L02
Combien (prix),いくら,💴,Genki L02
... yens,～えん(円),💴,Genki L02
"Cher, élevé",たかい(高い),💴,Genki L02
"..., s'il vous plaît",(～を)おねがいします,,Genki L02
Donnez-moi ...,(～を)ください,,Genki L02
"Alors, dans ce cas",じゃあ,,Genki L02
"Je vous en prie, tenez",どうぞ,,Genki L02
Merci,どうも,,Genki L02
Film,えいが(映画),,Genki L03
Musique,おんがく(音楽),,Genki L03
Magazine,ざっし(雑誌),,Genki L03
Sport,スポーツ,⚽,Genki L03
Rendez-vous amoureux,デート,,Genki L03
Tennis,テニス,,Genki L03
Télévision,テレビ,,Genki L03
Glace,アイスクリーム,,Genki L03
Hamburger,ハンバーガー,,Genki L03
"Alcool, saké",おさけ(お酒),,Genki L03
Thé vert,おちゃ(お茶),🥤,Genki L03
Café,コーヒー,🥤,Genki L03
Eau,みず(水),🥤,Genki L03
Petit-déjeuner,あさごはん(朝ご飯),,Genki L03
Déjeuner,ひるごはん(昼ご飯),,Genki L03
Dîner,ばんごはん(晩ご飯),,Genki L03
Maison,いえ(家),,Genki L03
Chez soi,うち,,Genki L03
Café (lieu),カフェ,🥤,Genki L03
Demain,あした(明日),,Genki L03
Aujourd'hui,きょう(今日),,Genki L03
Matin,あさ(朝),🕐,Genki L03
Ce soir,こんばん(今晩),🕐,Genki L03
Chaque jour,まいにち(毎日),📅,Genki L03
Chaque soir,まいばん(毎晩),🕐,Genki L03
Week-end,しゅうまつ(週末),,Genki L03
Samedi,どようび(土曜日),📅,Genki L03
Dimanche,にちようび(日曜日),📅,Genki L03
Quand,いつ,,Genki L03
